text,start,end,confidence,line_number,line_position,audible_duration,pregap
you,181.78,182.03,0.698,54,0,0.25,181.78
see,182.06,182.31,0.59,54,1,0.25,0.03
so,183.04,183.74,0.273,55,0,0.7,183.04
nnj,184.09,185.12,0.251,56,0,1.03,184.09
nnj,187.28,189.0,0.224,57,0,1.72,187.28
all,193.3,193.61,0.679,60,0,0.31,193.3
the,193.61,194.28,0.989,60,1,0.67,0.0
sn,198.7,199.84,0.613,62,0,1.14,198.7
you,204.4,204.63,0.324,63,0,0.23,204.4
mn,214.73,215.59,0.15,70,0,0.86,214.73
nnj,217.54,219.14,0.365,71,0,1.6,217.54
jn,232.36,233.07,0.994,76,0,0.71,232.36
the,234.95,235.15,0.508,77,0,0.2,234.95
nnj,243.62,244.91,0.281,81,0,1.29,243.62
is,257.15,257.23,0.19,82,0,0.08,257.15
a,257.23,257.29,0.353,82,1,0.06,0.0
bit,257.29,257.47,0.33,82,2,0.18,0.0
humble,257.47,257.78,0.39,82,3,0.31,0.0
from,257.78,258.08,0.14,82,4,0.3,0.0
doesn't,259.62,259.89,0.768,83,0,0.27,259.62
look,259.89,260.0,1.0,83,1,0.11,0.0
like,260.0,260.18,0.973,83,2,0.18,0.0
much,260.18,260.47,0.991,83,3,0.29,0.0
on,260.47,260.59,0.945,83,4,0.12,0.0
paper,260.59,260.9,0.953,83,5,0.31,0.0
see,261.66,261.84,0.822,84,0,0.18,261.66
what,261.84,261.98,0.518,84,1,0.14,0.0
you,261.98,262.07,0.998,84,2,0.09,0.0
can,262.07,262.21,0.966,84,3,0.14,0.0
do,262.21,262.36,0.76,84,4,0.15,0.0
making,270.77,271.07,0.941,86,0,0.3,270.77
new,271.07,271.2,1.0,86,1,0.13,0.0
friends,271.2,271.72,0.993,86,2,0.52,0.0
not,272.49,272.77,0.24,87,0,0.28,272.49
yet,272.77,273.04,0.099,87,1,0.27,0.0
for,274.67,274.76,0.459,88,0,0.09,274.67
the,274.76,274.87,0.839,88,1,0.11,0.0
morning,274.87,275.19,0.992,88,2,0.32,0.0
down,275.19,275.43,0.517,88,3,0.24,0.0
in,275.43,275.51,0.712,88,4,0.08,0.0
juvenile,275.51,275.96,0.99,88,5,0.45,0.0
court,275.96,276.34,0.996,88,6,0.38,0.0
the,277.45,277.53,0.54,89,0,0.08,277.45
kids,277.53,277.8,0.275,89,1,0.27,0.0
know,277.8,277.92,0.618,89,2,0.12,0.0
they,277.92,278.05,0.441,89,3,0.13,0.0
can't,278.05,278.31,0.528,89,4,0.26,0.0
be,278.31,278.41,0.957,89,5,0.1,0.0
her,278.41,278.64,0.396,89,6,0.23,0.0
fifth,278.64,278.86,0.08,89,7,0.22,0.0
street,278.86,279.16,0.957,89,8,0.3,0.0
which,279.16,279.5,0.207,89,9,0.34,0.0
I,279.5,279.67,0.112,89,10,0.17,0.0
saw,279.67,279.88,0.027,89,11,0.21,0.0
I,280.57,280.6,0.236,90,0,0.03,280.57
think,280.6,280.78,0.389,90,1,0.18,0.0
it,280.78,280.9,0.585,90,2,0.12,0.0
was,280.9,281.09,0.514,90,3,0.19,0.0
that,281.09,281.38,0.198,90,4,0.29,0.0
he,282.36,282.44,0.122,91,0,0.08,282.36
tried,282.44,282.85,0.196,91,1,0.41,0.0
another,283.89,284.14,0.406,92,0,0.25,283.89
might,284.14,284.42,0.085,92,1,0.28,0.0
be,284.42,284.52,0.63,92,2,0.1,0.0
entitled,284.52,284.94,0.079,92,3,0.42,0.0
****,284.94,285.37,0.76,92,4,0.43,0.0
off,285.37,285.67,0.865,92,5,0.3,0.0
of,285.67,285.86,0.733,92,6,0.19,0.0
fourteen,285.86,286.38,0.344,92,7,0.52,0.0
you,286.38,286.46,0.832,92,8,0.08,0.0
know,286.46,286.71,0.858,92,9,0.25,0.0
but,287.83,288.01,0.526,93,0,0.18,287.83
here's,288.01,288.24,0.155,93,1,0.23,0.0
a,288.24,288.3,0.932,93,2,0.06,0.0
Porsche,288.3,288.93,0.287,93,3,0.63,0.0
and,289.43,289.63,0.143,93,4,0.2,0.5
head,291.29,291.51,0.058,94,0,0.22,291.29
to,291.51,291.58,0.111,94,1,0.07,0.0
head,291.58,291.78,0.043,94,2,0.2,0.0
with,291.78,291.91,0.484,94,3,0.13,0.0
bubbles,291.91,292.37,1.0,94,4,0.46,0.0
and,293.06,293.3,0.469,94,5,0.24,0.69
east,293.3,293.54,0.898,94,6,0.24,0.0
Carolina,293.54,294.0,0.824,94,7,0.46,0.0
on,294.2,294.63,0.495,94,8,0.43,0.2
edge,294.63,295.13,0.181,94,9,0.5,0.0
all,295.57,295.69,0.581,95,0,0.12,295.57
right,295.69,296.16,0.437,95,1,0.47,0.0
whose,296.7,296.93,0.265,95,2,0.23,0.54
first,296.93,297.54,0.98,95,3,0.61,0.0
ms,297.95,298.14,0.529,96,0,0.19,297.95
Duncan's,298.14,298.76,0.526,96,1,0.62,0.0
state,298.97,299.35,0.815,96,2,0.38,0.21
versus,299.35,299.7,0.682,96,3,0.35,0.0
Martha,299.7,299.95,0.127,96,4,0.25,0.0
rounding,300.17,300.44,0.229,97,0,0.27,300.17
your,300.44,300.61,1.0,97,1,0.17,0.0
honor,300.61,300.92,0.99,97,2,0.31,0.0
one,301.29,301.53,0.91,98,0,0.24,301.29
count,301.53,301.78,0.386,98,1,0.25,0.0
distribution,301.78,302.32,1.0,98,2,0.54,0.0
of,302.32,302.4,1.0,98,3,0.08,0.0
a,302.4,302.44,1.0,98,4,0.04,0.0
controlled,302.44,302.93,1.0,98,5,0.49,0.0
substance,302.93,303.46,1.0,98,6,0.53,0.0
to,303.46,303.6,1.0,98,7,0.14,0.0
wit,303.6,303.77,1.0,98,8,0.17,0.0
heroin,303.77,304.37,1.0,98,9,0.6,0.0
and,304.53,304.72,1.0,98,10,0.19,0.16
one,304.72,304.91,1.0,98,11,0.19,0.0
count,304.91,305.17,1.0,98,12,0.26,0.0
distribution,305.17,305.65,1.0,98,13,0.48,0.0
of,305.65,305.73,1.0,98,14,0.08,0.0
a,305.73,305.77,1.0,98,15,0.04,0.0
controlled,305.77,306.22,1.0,98,16,0.45,0.0
substance,306.22,306.72,1.0,98,17,0.5,0.0
to,306.72,306.87,1.0,98,18,0.15,0.0
wit,306.87,307.07,1.0,98,19,0.2,0.0
cocaine,307.07,307.63,1.0,98,20,0.56,0.0
quantity,307.98,308.47,0.798,98,21,0.49,0.35
one,309.02,309.32,1.0,98,22,0.3,0.55
jail,309.32,309.56,0.334,98,23,0.24,0.0
cap,309.56,309.83,0.577,98,24,0.27,0.0
and,309.83,309.95,0.481,98,25,0.12,0.0
one,309.95,310.11,1.0,98,26,0.16,0.0
by,310.11,310.34,0.577,98,27,0.23,0.0
your,310.34,310.53,0.777,98,28,0.19,0.0
honor,310.53,310.72,0.595,98,29,0.19,0.0
fell,311.48,311.72,0.194,99,0,0.24,311.48
recommendation,311.72,312.55,0.996,99,1,0.83,0.0
state,313.02,313.38,1.0,100,0,0.36,313.02
requests,313.38,313.78,0.662,100,1,0.4,0.0
defendant,313.78,314.17,0.297,100,2,0.39,0.0
be,314.17,314.27,0.469,100,3,0.1,0.0
held,314.27,314.63,0.523,100,4,0.36,0.0
as,314.63,314.72,0.576,100,5,0.09,0.0
he,314.72,314.81,0.861,100,6,0.09,0.0
is,314.81,314.93,0.861,100,7,0.12,0.0
part,314.93,315.16,1.0,100,8,0.23,0.0
of,315.16,315.24,0.977,100,9,0.08,0.0
a,315.24,315.29,0.814,100,10,0.05,0.0
continuing,315.29,315.89,0.997,100,11,0.6,0.0
investigation,315.89,316.83,0.999,100,12,0.94,0.0
and,316.83,317.1,0.972,100,13,0.27,0.0
further,317.1,317.44,0.99,100,14,0.34,0.0
is,317.44,317.55,0.872,100,15,0.11,0.0
subject,317.55,317.86,1.0,100,16,0.31,0.0
to,317.86,317.95,1.0,100,17,0.09,0.0
a,317.95,318.0,1.0,100,18,0.05,0.0
mandatory,318.0,318.59,1.0,100,19,0.59,0.0
five,318.59,318.97,1.0,100,20,0.38,0.0
years,318.97,319.29,1.0,100,21,0.32,0.0
without,319.29,319.69,1.0,100,22,0.4,0.0
parole,319.69,320.12,1.0,100,23,0.43,0.0
because,320.12,320.41,1.0,100,24,0.29,0.0
of,320.41,320.49,1.0,100,25,0.08,0.0
prior,320.49,320.8,1.0,100,26,0.31,0.0
convictions,320.8,321.6,0.997,100,27,0.8,0.0
for,321.63,321.77,0.178,100,28,0.14,0.03
your,321.77,321.89,0.906,100,29,0.12,0.0
office,321.89,322.17,1.0,100,30,0.28,0.0
be,322.17,322.27,0.431,100,31,0.1,0.0
seeking,322.27,322.66,0.975,100,32,0.39,0.0
a,322.66,322.71,0.54,100,33,0.05,0.0
mandatory,322.71,323.14,0.992,100,34,0.43,0.0
five,323.14,323.46,0.979,100,35,0.32,0.0
in,323.46,323.52,0.606,100,36,0.06,0.0
this,323.52,323.66,0.606,100,37,0.14,0.0
case,323.66,324.12,0.604,100,38,0.46,0.0
absolutely,324.59,325.15,1.0,101,0,0.56,324.59
your,325.15,325.31,0.878,101,1,0.16,0.0
honor,325.31,325.54,0.73,101,2,0.23,0.0
very,327.36,327.63,1.0,102,0,0.27,327.36
well,327.63,327.98,0.998,102,1,0.35,0.0
I'll,328.15,328.28,0.813,102,2,0.13,0.17
take,328.28,328.48,1.0,102,3,0.2,0.0
that,328.48,328.6,1.0,102,4,0.12,0.0
into,328.6,328.78,1.0,102,5,0.18,0.0
consideration,328.78,329.63,0.996,102,6,0.85,0.0
because,333.08,333.40999999999997,0.806,103,0,0.33,333.08
intentionally,333.40999999999997,334.22,0.156,103,1,0.81,0.0
a,341.77,341.90999999999997,0.374,105,0,0.14,341.77
lieutenant,341.90999999999997,342.44,0.942,105,1,0.53,0.0
come,342.44,342.61,0.506,105,2,0.17,0.0
have,342.61,342.77,0.991,105,3,0.16,0.0
a,342.77,342.82,0.834,105,4,0.05,0.0
taste,342.82,343.31,0.826,105,5,0.49,0.0
not,344.44,344.63,0.366,106,0,0.19,344.44
come,344.63,344.8,0.865,106,1,0.17,0.0
on,344.8,344.96,0.524,106,2,0.16,0.0
we're,344.96,345.06,0.437,106,3,0.1,0.0
celebrating,345.06,345.67,0.412,106,4,0.61,0.0
Patrick's,347.38,347.79,0.51,107,0,0.41,347.38
going,347.79,348.06,0.98,107,1,0.27,0.0
out,348.06,348.19,0.474,107,2,0.13,0.0
a,348.19,348.23,0.904,107,3,0.04,0.0
medical,348.23,348.74,0.843,107,4,0.51,0.0
we,349.3,349.57,0.632,108,0,0.27,349.3
sweet,350.61,351.06,0.909,109,0,0.45,350.61
cervical,351.71,352.24,1.0,110,0,0.53,351.71
six,352.24,352.7,0.485,110,1,0.46,0.0
shoulders,354.67,355.15999999999997,0.731,111,0,0.49,354.67
normally,355.15999999999997,355.6,0.206,111,1,0.44,0.0
arms,355.6,355.9,0.932,111,2,0.3,0.0
numb,355.9,356.19,0.768,111,3,0.29,0.0
my,357.32,357.38,0.156,112,0,0.06,357.32
fingers,357.38,357.71,0.279,112,1,0.33,0.0
feel,357.71,357.89,0.685,112,2,0.18,0.0
like,357.89,358.04,0.701,112,3,0.15,0.0
they,358.04,358.14,1.0,112,4,0.1,0.0
belong,358.14,358.45,1.0,112,5,0.31,0.0
some,358.45,358.69,1.0,112,6,0.24,0.0
son,358.69,358.90999999999997,1.0,112,7,0.22,0.0
of,358.90999999999997,358.98,1.0,112,8,0.07,0.0
a,358.98,359.03,1.0,112,9,0.05,0.0
****,359.03,359.29,0.962,112,10,0.26,0.0
in,359.29,359.36,0.456,112,11,0.07,0.0
the,359.36,359.43,1.0,112,12,0.07,0.0
next,359.43,359.67,1.0,112,13,0.24,0.0
county,359.67,360.08,0.991,112,14,0.41,0.0
this,360.81,361.26,1.0,113,0,0.45,360.81
is,361.39,361.65999999999997,1.0,113,1,0.27,0.13
my,361.65999999999997,361.82,1.0,113,2,0.16,0.0
ticket,361.82,362.23,0.907,113,3,0.41,0.0
analyst,362.23,362.81,0.293,113,4,0.58,0.0
ratchet,362.81,363.27,0.481,113,5,0.46,0.0
department,363.27,363.85,0.929,113,6,0.58,0.0
sixty,364.27,364.71,1.0,114,0,0.44,364.27
six,364.71,365.09000000000003,1.0,114,1,0.38,0.0
and,365.09000000000003,365.22,0.439,114,2,0.13,0.0
two,365.22,365.38,0.965,114,3,0.16,0.0
thirds,365.38,365.81,0.987,114,4,0.43,0.0
pension,365.81,366.28,0.754,114,5,0.47,0.0
I,366.28,366.37,0.795,114,6,0.09,0.0
don't,366.37,366.79,0.982,114,7,0.42,0.0
have,366.79,366.9,1.0,114,8,0.11,0.0
to,366.9,367.0,1.0,114,9,0.1,0.0
wait,367.0,367.18,1.0,114,10,0.18,0.0
for,367.18,367.31,1.0,114,11,0.13,0.0
my,367.31,367.45,1.0,114,12,0.14,0.0
thirty,367.45,367.95,0.994,114,13,0.5,0.0
I'm,368.1,368.29,0.59,114,14,0.19,0.15
going,368.29,368.63,0.111,114,15,0.34,0.0
****,369.2,369.53,0.199,115,0,0.33,369.2
you,369.53,369.63,0.881,115,1,0.1,0.0
know,369.63,369.79,0.971,115,2,0.16,0.0
did,369.79,369.98,1.0,115,3,0.19,0.0
you,369.98,370.13,1.0,115,4,0.15,0.0
a,370.13,370.22,1.0,115,5,0.09,0.0
favor,370.22,370.69,0.99,115,6,0.47,0.0
kid,371.1,371.32,0.45,115,7,0.22,0.41
had,371.32,371.47,0.21,115,8,0.15,0.0
like,371.47,371.65,0.847,115,9,0.18,0.0
a,371.65,371.71,0.555,115,10,0.06,0.0
mule,371.71,371.97,0.35,115,11,0.26,0.0
I,371.97,372.06,0.768,115,12,0.09,0.0
gotta,372.06,372.3,0.373,115,13,0.24,0.0
say,372.3,372.65999999999997,0.933,115,14,0.36,0.0
you,372.88,372.95,0.563,115,15,0.07,0.22
should,372.95,373.11,0.928,115,16,0.16,0.0
take,373.11,373.28,1.0,115,17,0.17,0.0
a,373.28,373.33,1.0,115,18,0.05,0.0
couple,373.33,373.61,0.964,115,19,0.28,0.0
days,373.61,373.99,0.975,115,20,0.38,0.0
think,374.69,374.86,0.949,116,0,0.17,374.69
it,374.86,374.93,1.0,116,1,0.07,0.0
over,374.93,375.13,1.0,116,2,0.2,0.0
before,375.13,375.44,0.955,116,3,0.31,0.0
you,375.44,375.5,0.447,116,4,0.06,0.0
put,375.5,375.68,0.945,116,5,0.18,0.0
in,375.68,375.75,0.412,116,6,0.07,0.0
papers,375.75,376.17,0.692,116,7,0.42,0.0
my,376.49,376.64,1.0,117,0,0.15,376.49
brother,376.64,376.89,0.661,117,1,0.25,0.0
in,376.89,376.96,0.569,117,2,0.07,0.0
law's,376.96,377.22,0.593,117,3,0.26,0.0
gotta,377.22,377.65,0.684,117,4,0.43,0.0
video,377.68,377.99,1.0,117,5,0.31,0.03
store,377.99,378.35,0.989,117,6,0.36,0.0
item,378.35,378.58,0.305,117,7,0.23,0.0
Arabia,378.58,379.11,0.671,117,8,0.53,0.0
the,380.21,380.35,0.827,118,0,0.14,380.21
six,380.35,380.7,0.98,118,1,0.35,0.0
thousand,380.7,381.07,1.0,118,2,0.37,0.0
a,381.07,381.1,0.436,118,3,0.03,0.0
week,381.1,381.34000000000003,0.732,118,4,0.24,0.0
straight,381.34000000000003,381.65999999999997,0.962,118,5,0.32,0.0
Reynolds,381.65999999999997,382.15999999999997,0.634,118,6,0.5,0.0
another,382.69,383.03,1.0,119,0,0.34,382.69
eight,383.03,383.21,0.761,119,1,0.18,0.0
thousand,383.21,383.69,0.99,119,2,0.48,0.0
point,383.69,384.09000000000003,0.446,119,3,0.4,0.0
in,384.8,384.90999999999997,0.581,120,0,0.11,384.8
each,384.90999999999997,385.08,0.688,120,1,0.17,0.0
apartment,385.08,385.61,0.374,120,2,0.53,0.0
Patty,386.06,386.35,0.407,121,0,0.29,386.06
to,386.35,386.48,0.533,121,1,0.13,0.0
take,386.48,386.68,0.988,121,2,0.2,0.0
that,386.68,386.83,0.956,121,3,0.15,0.0
off,386.83,386.93,1.0,121,4,0.1,0.0
the,386.93,387.02,1.0,121,5,0.09,0.0
top,387.02,387.3,1.0,121,6,0.28,0.0
of,387.3,387.40999999999997,0.921,121,7,0.11,0.0
a,387.40999999999997,387.46,0.71,121,8,0.05,0.0
medical,387.46,387.79,1.0,121,9,0.33,0.0
penchant,387.79,388.25,0.223,121,10,0.46,0.0
for,388.25,388.39,0.17,121,11,0.14,0.0
reported,388.39,388.87,0.527,121,12,0.48,0.0
as,388.87,389.03,0.184,121,13,0.16,0.0
income,389.03,389.42,0.994,121,14,0.39,0.0
they,389.42,389.53,0.99,121,15,0.11,0.0
do,389.53,389.82,0.255,121,16,0.29,0.0
toilet,389.85,390.19,0.099,121,17,0.34,0.03
that,390.19,390.37,0.684,121,18,0.18,0.0
****,390.37,390.74,0.635,121,19,0.37,0.0
stupid,390.74,391.25,0.998,121,20,0.51,0.0
have,392.90999999999997,393.06,1.0,122,0,0.15,392.91
a,393.06,393.1,1.0,122,1,0.04,0.0
nice,393.1,393.34000000000003,1.0,122,2,0.24,0.0
life,393.34000000000003,393.64,0.974,122,3,0.3,0.0
lieutenant,393.64,394.05,0.12,122,4,0.41,0.0
which,406.08,406.19,0.345,123,0,0.11,406.08
would,406.19,406.34000000000003,0.141,123,1,0.15,0.0
you,406.34000000000003,406.64,0.297,123,2,0.3,0.0
you,408.12,408.23,0.636,124,0,0.11,408.12
going,408.23,408.36,0.429,124,1,0.13,0.0
to,408.36,408.42,0.437,124,2,0.06,0.0
miss,408.42,408.65,0.679,124,3,0.23,0.0
my,408.65,408.79,0.185,124,4,0.14,0.0
Dawgs,408.79,409.28,0.207,124,5,0.49,0.0
the,410.53,410.65,1.0,125,0,0.12,410.53
****,410.65,410.93,1.0,125,1,0.28,0.0
am,410.93,411.06,1.0,125,2,0.13,0.0
I,411.06,411.13,1.0,125,3,0.07,0.0
going,411.13,411.27,1.0,125,4,0.14,0.0
to,411.27,411.33,1.0,125,5,0.06,0.0
do,411.33,411.54,1.0,125,6,0.21,0.0
petty,411.54,411.99,0.167,125,7,0.45,0.0
tell,413.42,413.58,0.934,126,0,0.16,413.42
you,413.58,413.72,0.954,126,1,0.14,0.0
what,413.72,414.02,0.984,126,2,0.3,0.0
what,415.4,415.55,0.86,127,0,0.15,415.4
do,415.55,415.61,1.0,127,1,0.06,0.0
you,415.61,415.69,1.0,127,2,0.08,0.0
say,415.69,415.96,1.0,127,3,0.27,0.0
we,415.96,416.11,0.834,127,4,0.15,0.0
go,416.11,416.27,1.0,127,5,0.16,0.0
out,416.27,416.44,1.0,127,6,0.17,0.0
together,416.44,416.85,0.987,127,7,0.41,0.0
what,417.79,417.92,1.0,128,0,0.13,417.79
do,417.92,417.98,0.91,128,1,0.06,0.0
you,417.98,418.06,1.0,128,2,0.08,0.0
mean,418.06,418.42,1.0,128,3,0.36,0.0
I,418.62,418.83,0.863,128,4,0.21,0.2
mean,418.83,418.99,0.984,128,5,0.16,0.0
it,418.99,419.08,0.393,128,6,0.09,0.0
only,419.08,419.31,0.986,128,7,0.23,0.0
hurts,419.31,419.59000000000003,0.951,128,8,0.28,0.0
for,419.59000000000003,419.73,0.84,128,9,0.14,0.0
a,419.73,419.76,0.509,128,10,0.03,0.0
minute,419.76,420.12,0.864,128,11,0.36,0.0
and,420.72,420.89,0.966,129,0,0.17,420.72
it,420.89,421.01,0.707,129,1,0.12,0.0
doesn't,421.01,421.34000000000003,0.736,129,2,0.33,0.0
have,421.34000000000003,421.44,1.0,129,3,0.1,0.0
to,421.44,421.53,1.0,129,4,0.09,0.0
be,421.53,421.62,1.0,129,5,0.09,0.0
willing,421.62,421.83,0.344,129,6,0.21,0.0
to,421.83,421.9,0.561,129,7,0.07,0.0
duty,421.9,422.25,0.721,129,8,0.35,0.0
either,422.25,422.64,0.986,129,9,0.39,0.0
I'm,423.61,423.95,0.54,130,0,0.34,423.61
serious,423.95,424.37,1.0,130,1,0.42,0.0
you,424.37,424.49,1.0,130,2,0.12,0.0
know,424.49,424.67,1.0,130,3,0.18,0.0
those,424.67,424.88,0.995,130,4,0.21,0.0
stairs,424.88,425.25,0.342,130,5,0.37,0.0
really,425.25,425.46,0.828,130,6,0.21,0.0
sends,425.46,425.82,0.666,130,7,0.36,0.0
them,425.82,426.01,0.377,130,8,0.19,0.0
the,426.01,426.09000000000003,0.829,130,9,0.08,0.0
basement,426.09000000000003,426.54,0.999,130,10,0.45,0.0
her,426.71,426.98,0.222,130,11,0.27,0.17
start,427.45,427.82,0.624,131,0,0.37,427.45
down,427.82,428.07,0.464,131,1,0.25,0.0
there,428.07,428.28,0.423,131,2,0.21,0.0
you,429.44,429.61,1.0,132,0,0.17,429.44
go,429.61,429.78999999999996,0.944,132,1,0.18,0.0
up,429.78999999999996,430.0,0.684,132,2,0.21,0.0
eight,430.0,430.15,0.179,132,3,0.15,0.0
and,430.15,430.24,0.123,132,4,0.09,0.0
nine,430.24,430.49,1.0,132,5,0.25,0.0
steps,430.49,431.03,0.996,132,6,0.54,0.0
let,431.15999999999997,431.39,0.436,132,7,0.23,0.13
go,431.39,431.58000000000004,0.555,132,8,0.19,0.0
of,431.58000000000004,431.64,0.179,132,9,0.06,0.0
the,431.64,431.72,0.582,132,10,0.08,0.0
rail,431.72,432.06,0.061,132,11,0.34,0.0
take,432.15999999999997,432.4,0.88,132,12,0.24,0.1
too,432.4,432.53,0.731,132,13,0.13,0.0
